canonical_drug	drug_aro_accession	canonical_class	class_aro_accession	source
chrysomycin a	ARO:3007679	aminocoumarin antibiotic	ARO:3000103	aro_obo
clorobiocin	ARO:3000132	aminocoumarin antibiotic	ARO:3000103	aro_obo
coumermycin a1	ARO:3000150	aminocoumarin antibiotic	ARO:3000103	aro_obo
declovanillobiocin	ARO:3004718	aminocoumarin antibiotic	ARO:3000103	aro_obo
isovanillobiocin	ARO:3004717	aminocoumarin antibiotic	ARO:3000103	aro_obo
novobiocin	ARO:3000111	aminocoumarin antibiotic	ARO:3000103	aro_obo
vanillobiocin	ARO:3004716	aminocoumarin antibiotic	ARO:3000103	aro_obo
2'-n-ethylnetilmicin	ARO:3007378	aminoglycoside antibiotic	ARO:0000016	aro_obo
5-episisomicin	ARO:3007379	aminoglycoside antibiotic	ARO:0000016	aro_obo
6'-n-ethylnetilmicin	ARO:3007377	aminoglycoside antibiotic	ARO:0000016	aro_obo
amikacin	ARO:0000013	aminoglycoside antibiotic	ARO:0000016	aro_obo
apramycin	ARO:0000037	aminoglycoside antibiotic	ARO:0000016	aro_obo
arbekacin	ARO:3000654	aminoglycoside antibiotic	ARO:0000016	aro_obo
astromicin	ARO:0000003	aminoglycoside antibiotic	ARO:0000016	aro_obo
butirosin	ARO:0000024	aminoglycoside antibiotic	ARO:0000016	aro_obo
capreomycin	ARO:3003993	aminoglycoside antibiotic	ARO:0000016	aro_obo
dibekacin	ARO:0000007	aminoglycoside antibiotic	ARO:0000016	aro_obo
g418	ARO:3000653	aminoglycoside antibiotic	ARO:0000016	aro_obo
gentamicin	ARO:3007382	aminoglycoside antibiotic	ARO:0000016	aro_obo
gentamicin a	ARO:3004015	aminoglycoside antibiotic	ARO:0000016	aro_obo
gentamicin b	ARO:3000655	aminoglycoside antibiotic	ARO:0000016	aro_obo
gentamicin c	ARO:0000014	aminoglycoside antibiotic	ARO:0000016	aro_obo
gentamicin x	ARO:3007376	aminoglycoside antibiotic	ARO:0000016	aro_obo
hygromycin b	ARO:3000214	aminoglycoside antibiotic	ARO:0000016	aro_obo
isepamicin	ARO:3000652	aminoglycoside antibiotic	ARO:0000016	aro_obo
kanamycin a	ARO:0000049	aminoglycoside antibiotic	ARO:0000016	aro_obo
kasugamycin	ARO:3001296	aminoglycoside antibiotic	ARO:0000016	aro_obo
lividomycin	ARO:3000658	aminoglycoside antibiotic	ARO:0000016	aro_obo
lividomycin a	ARO:3000700	aminoglycoside antibiotic	ARO:0000016	aro_obo
lividomycin b	ARO:3000701	aminoglycoside antibiotic	ARO:0000016	aro_obo
neomycin	ARO:0000005	aminoglycoside antibiotic	ARO:0000016	aro_obo
netilmicin	ARO:0000038	aminoglycoside antibiotic	ARO:0000016	aro_obo
paromomycin	ARO:3000657	aminoglycoside antibiotic	ARO:0000016	aro_obo
plazomicin	ARO:3003675	aminoglycoside antibiotic	ARO:0000016	aro_obo
ribostamycin	ARO:0000021	aminoglycoside antibiotic	ARO:0000016	aro_obo
sisomicin	ARO:0000035	aminoglycoside antibiotic	ARO:0000016	aro_obo
spectinomycin	ARO:0000039	aminoglycoside antibiotic	ARO:0000016	aro_obo
streptomycin	ARO:0000040	aminoglycoside antibiotic	ARO:0000016	aro_obo
tobramycin	ARO:0000052	aminoglycoside antibiotic	ARO:0000016	aro_obo
verdamicin	ARO:3001294	aminoglycoside antibiotic	ARO:0000016	aro_obo
vertilimicin	ARO:3001295	aminoglycoside antibiotic	ARO:0000016	aro_obo
linoleic acid	ARO:3003959	antibacterial free fatty acids	ARO:3003956	aro_obo
oleic acid	ARO:3003958	antibacterial free fatty acids	ARO:3003956	aro_obo
palmitic acid	ARO:3003957	antibacterial free fatty acids	ARO:3003956	aro_obo
bacitracin a	ARO:3000629	bacitracin		aro_obo
bacitracin b	ARO:3000630	bacitracin		aro_obo
bacitracin f	ARO:3000631	bacitracin		aro_obo
ant-431	ARO:3007294	beta-lactamase inhibitor		aro_obo
ant3310	ARO:3007009	beta-lactamase inhibitor		aro_obo
arx1796	ARO:3007297	beta-lactamase inhibitor		aro_obo
aspergillomarasmine a	ARO:3002980	beta-lactamase inhibitor		aro_obo
avibactam	ARO:3000588	beta-lactamase inhibitor		aro_obo
beta-lactam derived beta-lactamase inhibitor	ARO:3007130	beta-lactamase inhibitor		aro_obo
betaxolol	ARO:3007750	beta-lactamase inhibitor		aro_obo
bispicen	ARO:3005201	beta-lactamase inhibitor		aro_obo
bisthiazolidine metallo-beta-lactamase inhibitor	ARO:3007135	beta-lactamase inhibitor		aro_obo
bli-489	ARO:3007141	beta-lactamase inhibitor		aro_obo
boronic acid beta-lactamase inhibitor	ARO:3007131	beta-lactamase inhibitor		aro_obo
