aro_accession	gene_name	canonical_class	class_aro_accession	source
ARO:3004272	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3004271	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	pactamycin-like antibiotic	ARO:3007158	aro_obo
ARO:3003669	16S rRNA with mutation conferring resistance to tetracycline derivatives	tetracycline antibiotic	ARO:3000050	aro_obo
ARO:3003666	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3003667	16s rRNA with mutation conferring resistance to peptide antibiotics	peptide antibiotic	ARO:3000053	aro_obo
ARO:3003668	16s rRNA with mutation conferring resistance to polyamine antibiotics	polyamine antibiotic	ARO:3000527	aro_obo
ARO:3004187	23S rRNA with mutation conferring resistance to lincosamide antibiotics	lincosamide antibiotic	ARO:0000017	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	glycopeptide antibiotic	ARO:3000081	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	lincosamide antibiotic	ARO:0000017	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	macrolide antibiotic	ARO:0000000	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	oxazolidinone antibiotic	ARO:3000079	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	phenicol antibiotic	ARO:3000387	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	pleuromutilin antibiotic	ARO:3000670	aro_obo
ARO:3004057	23S rRNA with mutation conferring resistance to linezolid antibiotics	streptogramin antibiotic	ARO:0000026	aro_obo
ARO:3004125	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	ARO:0000000	aro_obo
ARO:3004172	23S rRNA with mutation conferring resistance to oxazolidinone antibiotics	oxazolidinone antibiotic	ARO:3000079	aro_obo
ARO:3004188	23S rRNA with mutation conferring resistance to phenicol antibiotics	phenicol antibiotic	ARO:3000387	aro_obo
ARO:3004178	23S rRNA with mutation conferring resistance to pleuromutilin antibiotics	pleuromutilin antibiotic	ARO:3000670	aro_obo
ARO:3004182	23S rRNA with mutation conferring resistance to streptogramins antibiotics	streptogramin antibiotic	ARO:0000026	aro_obo
ARO:3004936	23s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3005001	50S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	ARO:0000000	aro_obo
ARO:3000341	AAC(2')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000322	AAC(3)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000345	AAC(6')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3005113	AAC(6')-Ib-cr	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3005113	AAC(6')-Ib-cr	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3005387	AAK beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3000073	ACC beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3000073	ACC beta-lactamase	monobactam	ARO:0000004	aro_obo
ARO:3000073	ACC beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004358	ACI beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004358	ACI beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3000072	ACT beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3000072	ACT beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3000072	ACT beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004545	ADC beta-lactamase with carbapenemase activity	carbapenem	ARO:0000020	aro_obo
ARO:3003846	ADC beta-lactamase without carbapenemase activity	cephalosporin	ARO:0000032	aro_obo
ARO:3005460	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	ARO:0000032	aro_obo
ARO:3000089	AER beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3005388	AFM beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004216	AIM beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004216	AIM beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3005389	ALG11 beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3005390	ALG6 beta-lactamases	carbapenem	ARO:0000020	aro_obo
ARO:3005391	ALI beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3007693	AMZ beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3007693	AMZ beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3005392	ANA beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004276	ANT(2'')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3004275	ANT(3'')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000229	ANT(4')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000225	ANT(6)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000228	ANT(9)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000128	APH(2'')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000127	APH(3'')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000126	APH(3')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000155	APH(4)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000151	APH(6)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000154	APH(7'')	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000153	APH(9)	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3002992	AQU beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004742	ARL Beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004741	AST Beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004741	AST Beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3007863	ASU1 beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3005393	AXC beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004574	Acinetobacter baumannii AbaQ	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3004578	Acinetobacter baumannii AbuO	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3003581	Acinetobacter mutant Lpx gene conferring resistance to colistin	peptide antibiotic	ARO:3000053	aro_obo
ARO:3000384	AcrAB-TolC	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3004082	AcrAD-TolC	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3000503	AcrEF-TolC	cephalosporin	ARO:0000032	aro_obo
ARO:3000503	AcrEF-TolC	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3000503	AcrEF-TolC	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3000771	AdeFGH	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3000772	AdeIJK	cephalosporin	ARO:0000032	aro_obo
ARO:3000772	AdeIJK	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3000772	AdeIJK	lincosamide antibiotic	ARO:0000017	aro_obo
ARO:3000772	AdeIJK	macrolide antibiotic	ARO:0000000	aro_obo
ARO:3003830	Aminocoumarin resistant alaS	aminocoumarin antibiotic	ARO:3000103	aro_obo
ARO:3002981	AmrAB-OprM	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3007056	Antibiotic resistant Helicobacter pylori nitroreductase	nitroimidazole antibiotic	ARO:3004115	aro_obo
ARO:3003755	Antibiotic resistant nfsB	nitrofuran antibiotic	ARO:3004116	aro_obo
ARO:3003443	Antibiotic resistant tlyA	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3004141	AxyXY-OprZ	aminoglycoside antibiotic	ARO:0000016	aro_obo
ARO:3004141	AxyXY-OprZ	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ARO:3007864	B3SU1 beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3007865	B3SU2 beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004746	BAT Beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004748	BCL Beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3002384	BEL beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3002384	BEL beta-lactamase	monobactam	ARO:0000004	aro_obo
ARO:3002384	BEL beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004750	BES Beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004752	BIC Beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004754	BIL Beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3007858	BIM beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3007858	BIM beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004219	BJP beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004756	BKC Beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3007866	BMHC beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3007867	BOR beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004758	BPU Beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004760	BRO Beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3005394	BSU beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004293	BUT beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004260	Bah amidohydrolase	peptide antibiotic	ARO:3000053	aro_obo
ARO:3004190	BlaA beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004190	BlaA beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004201	BlaB beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004201	BlaB beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004197	BlaZ beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004256	Bleomycin resistant protein	glycopeptide antibiotic	ARO:3000081	aro_obo
ARO:3007634	CAE beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3007634	CAE beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004558	CAM beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3004558	CAM beta-lactamase	cephalosporin	ARO:0000032	aro_obo
ARO:3004558	CAM beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3005395	CAR beta-lactamase	carbapenem	ARO:0000020	aro_obo
ARO:3000091	CARB beta-lactamase	penicillin antibiotic	ARO:3000008	aro_obo
ARO:3004218	CAU beta-lactamase	carbapenem	ARO:0000020	aro_obo
