aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	lincosamide antibiotic	lincosamide antibiotic
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	macrolide antibiotic	macrolide antibiotic
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	streptogramin antibiotic	streptogramin antibiotic
ARO:3002523	AAC(2')-Ia	AAC(2')-Ia	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002524	AAC(2')-Ib	AAC(2')-Ib	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002525	AAC(2')-Ic	AAC(2')-Ic	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002526	AAC(2')-Id	AAC(2')-Id	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002527	AAC(2')-Ie	AAC(2')-Ie	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004628	AAC(2')-IIa	AAC(2')-IIa	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003988	AAC(2')-IIb	AAC(2')-IIb	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002528	AAC(3)-Ia	AAC(3)-Ia	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002530	AAC(3)-Ib	AAC(3)-Ib	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002600	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	AAC_3Ib_AAC_6Ib	aminoglycoside bifunctional resistance protein	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002531	AAC(3)-Ic	AAC(3)-Ic	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002529	AAC(3)-Id	AAC(3)-Id	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002533	AAC(3)-IIa	AAC(3)-IIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002534	AAC(3)-IIb	AAC(3)-IIb	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002535	AAC(3)-IIc	AAC(3)-IIc	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004623	AAC(3)-IId	AAC(3)-IId	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004621	AAC(3)-IIe	AAC(3)-IIe	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005085	AAC(3)-IIg	AAC(3)-IIg	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002536	AAC(3)-IIIa	AAC(3)-IIIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
