canonical_name	alias	alias_type	source
amikacin	AMK	card_abbreviation	card
amikacin	ak	abbreviation	amr_r
amikacin	ami	abbreviation	amr_r
amikacin	amik	abbreviation	amr_r
amikacin	amikac	abbreviation	amr_r
amikacin	amikacillin	synonym	amr_r
amikacin	amikacina	synonym	amr_r
amikacin	amikacine	synonym	amr_r
amikacin	amikacinum	synonym	amr_r
amikacin	amikavet	synonym	amr_r
amikacin	amikin	synonym	amr_r
amikacin	amikozit	synonym	amr_r
amikacin	amk	abbreviation	amr_r
amikacin	amukin	synonym	amr_r
amikacin	an	abbreviation	amr_r
amikacin	arikace	synonym	amr_r
amikacin	briclin	synonym	amr_r
amikacin	butirosins	synonym	amr_r
amikacin	kaminax	synonym	amr_r
amikacin	lukadin	synonym	amr_r
amikacin	mikavir	synonym	amr_r
amikacin	potentox	synonym	amr_r
amikacin	prestwick	synonym	amr_r
amoxicillin	AMX	card_abbreviation	card
amoxicillin	ac	abbreviation	amr_r
amoxicillin	acuotricina	synonym	amr_r
amoxicillin	alfamox	synonym	amr_r
amoxicillin	alfida	synonym	amr_r
amoxicillin	amitron	synonym	amr_r
amoxicillin	amoclen	synonym	amr_r
amoxicillin	amodex	synonym	amr_r
amoxicillin	amoksicillin	synonym	amr_r
amoxicillin	amolin	synonym	amr_r
amoxicillin	amopen	synonym	amr_r
amoxicillin	amopenixin	synonym	amr_r
amoxicillin	amophar	synonym	amr_r
amoxicillin	amoran	synonym	amr_r
amoxicillin	amox	abbreviation	amr_r
amoxicillin	amoxi	synonym	amr_r
amoxicillin	amoxic	abbreviation	amr_r
amoxicillin	amoxicaps	synonym	amr_r
amoxicillin	amoxicilina	synonym	amr_r
amoxicillin	amoxicilline	synonym	amr_r
amoxicillin	amoxicillinum	synonym	amr_r
amoxicillin	amoxidal	synonym	amr_r
amoxicillin	amoxiden	synonym	amr_r
amoxicillin	amoxil	synonym	amr_r
amoxicillin	amoxillat	synonym	amr_r
amoxicillin	amoxina	synonym	amr_r
amoxicillin	amoxine	synonym	amr_r
amoxicillin	amoxipen	synonym	amr_r
amoxicillin	amoxivet	synonym	amr_r
amoxicillin	amoxycillin	synonym	amr_r
amoxicillin	amoxycillinsalt	synonym	amr_r
amoxicillin	amoxyke	synonym	amr_r
amoxicillin	amx	abbreviation	amr_r
amoxicillin	anemolin	synonym	amr_r
amoxicillin	aspenil	synonym	amr_r
amoxicillin	atoksilin	synonym	amr_r
amoxicillin	bristamox	synonym	amr_r
amoxicillin	cemoxin	synonym	amr_r
amoxicillin	ciblor	synonym	amr_r
amoxicillin	clamoxyl	synonym	amr_r
amoxicillin	damoxy	synonym	amr_r
amoxicillin	danoxillin	synonym	amr_r
amoxicillin	delacillin	synonym	amr_r
amoxicillin	demoksil	synonym	amr_r
amoxicillin	dispermox	synonym	amr_r
amoxicillin	efpenix	synonym	amr_r
amoxicillin	eupen	synonym	amr_r
amoxicillin	flemoxin	synonym	amr_r
amoxicillin	flemoxine	synonym	amr_r
amoxicillin	galenamox	synonym	amr_r
amoxicillin	gramidil	synonym	amr_r
amoxicillin	hiconcil	synonym	amr_r
amoxicillin	himinomax	synonym	amr_r
amoxicillin	histocillin	synonym	amr_r
amoxicillin	ibiamox	synonym	amr_r
amoxicillin	imacillin	synonym	amr_r
amoxicillin	izoltil	synonym	amr_r
