canonical_name	is_combination	components	context	card_abbrev	atc_code	inchikey	pubchem_cid	chebi_id	sources	loinc_codes	atc_group1	atc_group2
amikacin	False		clinical	AMK	J01GB06,QD06AX12,QJ01GB06,QS01AA21,D06AX12,S01AA21	LKCWBDHBTVXHDL-SMDDNHRTSA-N	37768	CHEBI:2637	card|ncbi|resfinder	101493-5,11-7,12-5,13-3,13546-7,14-1,15098-7,17798-0,18860-7,20373-7,23624-0,25174-4,25175-1,25176-9,25177-7,25178-5,25179-3,31097-9,31098-7,31099-5,3319-1,3320-9,3321-7,35669-1,42642-9,48169-7,50802-8,50803-6,56628-1,59378-0,60564-2,60565-9,6975-7,80972-3,89484-0	Aminoglycoside antibacterials	Other aminoglycosides
aminoglycoside	False		clinical						ncbi			
amoxicillin	False		clinical	AMX	J01CA04,QG51AA03,QJ01CA04	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	33613	CHEBI:2676	card|resfinder	101498-4,15-8,16-6,16365-9,17-4,18-2,18861-5,18862-3,19-0,20-8,21-6,22-4,25274-2,25310-4,3344-9,55614-2,55615-9,55616-7,6976-5,6977-3,80133-2	Beta-lactam antibacterials, penicillins	Penicillins with extended spectrum
amoxicillin+clavulanic acid	True	amoxicillin|clavulanic acid	clinical		J01CR02,QJ01CR02		23665637		resfinder		Beta-lactam antibacterials, penicillins	Combinations of penicillins, incl. beta-lactamase inhibitors
ampicillin	False		clinical		J01CA01,QJ01CA01,QJ51CA01,QS01AA19,S01AA19	AVKUERGKIZMTKX-NJBDSQKTSA-N	6249	CHEBI:28971	resfinder	101477-8,101478-6,18864-9,18865-6,20374-5,21066-6,23618-2,27-3,28-1,29-9,30-7,31-5,32-3,33-1,3355-5,33562-0,33919-2,34-9,43883-8,43884-6,6979-9,6980-7,87604-5	Beta-lactam antibacterials, penicillins	Penicillins with extended spectrum
ampicillin+clavulanic acid	True	ampicillin|clavulanic acid	clinical						resfinder			
apramycin	False		clinical		QA07AA92,QJ01GB90,QJ51GB90	XZNUGFQTQHRASN-XQXXSGGOSA-N	3032628	CHEBI:2731	ncbi|resfinder	23659-6,73652-0,73653-8		
arbekacin	False		clinical		J01GB12,QJ01GB12	MKKYBZZTJQGVCD-XTCKQBCOSA-N	456012		resfinder	32373-3,53818-1,54173-0		
astromicin	False		clinical		J01GB13	BSMOLWBDHLCNLU-PWPDDNHESA-N	72579		resfinder			
avibactam	False		inhibitor	AVI		JTEHXIYAZYVHKE-BGZDPUMOSA-N	10295702	CHEBI:85896	card|ncbi|resfinder			
avilamycin	False		veterinary		QA07AA95	RQFUZUMFPRMVDX-JXOAFFINSA-N	10096		ncbi	35754-1,35755-8,35756-6,55619-1		
azithromycin	False		clinical	AZM	J01FA10,QJ01FA10,QS01AA26,S01AA26	MQTOSJVFKKJCRP-BICOPXKESA-N	447043	CHEBI:2955	card|ncbi|resfinder	100043-9,16420-2,16421-0,18866-4,23612-5,25233-8,35-6,36-4,37-2,38-0,6981-5,89480-8	Macrolides, lincosamides and streptogramins	Macrolides
aztreonam	False		clinical	ATM	J01DF01,QJ01DF01	WZPBZJONMAIEGC-WCTZXXKLSA-N	5494	CHEBI:2949	card|resfinder	101497-6,16423-6,18868-0,25234-6,3369-6,41662-8,41663-6,41664-4,41727-9,43-0,44-8,45-5,46-3,6982-3	Other beta-lactam antibacterials	Monobactams
bacitracin	False		clinical		J01XX10,QA07AA93,QD06AX05,QJ01XX10,QR02AB04,QS01AA32,D06AX05,R02AB04,S01AA32	CLKOFPMOUPERMY-SFHVURJKSA-N	10909	CHEBI:2906	ncbi	10868-8,16428-5,18870-6,6827-0,6983-1,87603-7		
