canonical_drug	canonical_class	aro_accession	category	source
chrysomycin a	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
clorobiocin	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
coumermycin a1	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
declovanillobiocin	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
isovanillobiocin	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
novobiocin	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
vanillobiocin	aminocoumarin antibiotic	ARO:3000103	antibiotic	aro_obo
2'-n-ethylnetilmicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
5-episisomicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
6'-n-ethylnetilmicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
amikacin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
aminoglycoside	aminoglycoside antibiotic	ARO:0000016	antibiotic	ncbi
apramycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
arbekacin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
astromicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
butiromycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
butirosin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
capreomycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
dibekacin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
fortimicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
g418	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
gentamicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
gentamicin a	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
gentamicin b	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
gentamicin c	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
gentamicin x	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
hygromycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
hygromycin b	aminoglycoside antibiotic	ARO:0000016	antibiotic	curated
isepamicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
kanamycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
kanamycin a	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
kasugamycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
lividomycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
lividomycin a	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
lividomycin b	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
neomycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
netilmicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
paromomycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
plazomicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	ncbi
ribostamycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
sisomicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
spectinomycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	ncbi
streptomycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
tobramycin	aminoglycoside antibiotic	ARO:0000016	antibiotic	resfinder
verdamicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
vertilimicin	aminoglycoside antibiotic	ARO:0000016	antibiotic	aro_obo
linoleic acid	antibacterial free fatty acids	ARO:3003956	antibiotic	aro_obo
oleic acid	antibacterial free fatty acids	ARO:3003956	antibiotic	aro_obo
palmitic acid	antibacterial free fatty acids	ARO:3003956	antibiotic	aro_obo
bacitracin	bacitracin		antibiotic	ncbi
bacitracin a	bacitracin		antibiotic	aro_obo
bacitracin b	bacitracin		antibiotic	aro_obo
bacitracin f	bacitracin		antibiotic	aro_obo
amoxicillin	beta-lactam antibiotic		antibiotic	resfinder
amoxicillin+clavulanic acid	beta-lactam antibiotic		antibiotic	resfinder
ampicillin	beta-lactam antibiotic		antibiotic	resfinder
ampicillin+clavulanic acid	beta-lactam antibiotic		antibiotic	resfinder
avibactam	beta-lactam antibiotic		antibiotic	resfinder_combination_component
aztreonam	beta-lactam antibiotic		antibiotic	resfinder
beta-lactam	beta-lactam antibiotic		antibiotic	ncbi
carbapenem	beta-lactam antibiotic		antibiotic	ncbi
cefazolin	beta-lactam antibiotic		antibiotic	resfinder
cefepime	beta-lactam antibiotic		antibiotic	resfinder
cefepime-taniborbactam	beta-lactam antibiotic		antibiotic	ncbi
cefiderocol	beta-lactam antibiotic		antibiotic	ncbi
cefixime	beta-lactam antibiotic		antibiotic	resfinder
cefotaxime	beta-lactam antibiotic		antibiotic	resfinder
cefotaxime+clavulanic acid	beta-lactam antibiotic		antibiotic	resfinder
cefoxitin	beta-lactam antibiotic		antibiotic	resfinder
ceftaroline	beta-lactam antibiotic		antibiotic	resfinder
ceftazidime	beta-lactam antibiotic		antibiotic	resfinder
ceftazidime+avibactam	beta-lactam antibiotic		antibiotic	resfinder
ceftazidime-avibactam	beta-lactam antibiotic		antibiotic	curated
ceftibuten-avibactam	beta-lactam antibiotic		antibiotic	ncbi
ceftriaxone	beta-lactam antibiotic		antibiotic	resfinder
cefuroxime	beta-lactam antibiotic		antibiotic	resfinder
cephalosporin	beta-lactam antibiotic		antibiotic	ncbi
cephalothin	beta-lactam antibiotic		antibiotic	resfinder
clavulanic acid	beta-lactam antibiotic		antibiotic	resfinder_combination_component
ertapenem	beta-lactam antibiotic		antibiotic	resfinder
imipenem	beta-lactam antibiotic		antibiotic	resfinder
meropenem	beta-lactam antibiotic		antibiotic	resfinder
meticillin	beta-lactam antibiotic		antibiotic	ncbi
penicillin	beta-lactam antibiotic		antibiotic	resfinder
piperacillin	beta-lactam antibiotic		antibiotic	resfinder
piperacillin+clavulanic acid	beta-lactam antibiotic		antibiotic	resfinder
piperacillin+tazobactam	beta-lactam antibiotic		antibiotic	resfinder
taniborbactam	beta-lactam antibiotic		antibiotic	ncbi
tazobactam	beta-lactam antibiotic		antibiotic	resfinder_combination_component
temocillin	beta-lactam antibiotic		antibiotic	resfinder
ticarcillin	beta-lactam antibiotic		antibiotic	resfinder
ticarcillin+clavulanic acid	beta-lactam antibiotic		antibiotic	resfinder
xeruborbactam	beta-lactam antibiotic		antibiotic	ncbi
ant-431	beta-lactamase inhibitor		inhibitor	aro_obo
ant3310	beta-lactamase inhibitor		inhibitor	aro_obo
arx1796	beta-lactamase inhibitor		inhibitor	aro_obo
aspergillomarasmine a	beta-lactamase inhibitor		inhibitor	aro_obo
avibactam	beta-lactamase inhibitor		inhibitor	aro_obo
beta-lactam derived beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
betaxolol	beta-lactamase inhibitor		inhibitor	aro_obo
bispicen	beta-lactamase inhibitor		inhibitor	aro_obo
bisthiazolidine metallo-beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
bli-489	beta-lactamase inhibitor		inhibitor	aro_obo
boronic acid beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
bp2	beta-lactamase inhibitor		inhibitor	aro_obo
clavulanic acid	beta-lactamase inhibitor		inhibitor	aro_obo
d-captopril	beta-lactamase inhibitor		inhibitor	aro_obo
diazabicyclooctane	beta-lactamase inhibitor		inhibitor	aro_obo
dimercaprol	beta-lactamase inhibitor		inhibitor	aro_obo
durlobactam	beta-lactamase inhibitor		inhibitor	aro_obo
emerione a	beta-lactamase inhibitor		inhibitor	aro_obo
enmetazobactam	beta-lactamase inhibitor		inhibitor	aro_obo
fisetin	beta-lactamase inhibitor		inhibitor	aro_obo
l-captopril	beta-lactamase inhibitor		inhibitor	aro_obo
l-cs319	beta-lactamase inhibitor		inhibitor	aro_obo
ledaborbactam	beta-lactamase inhibitor		inhibitor	aro_obo
ledaborbactam etzadroxil	beta-lactamase inhibitor		inhibitor	aro_obo
lipoic acid	beta-lactamase inhibitor		inhibitor	aro_obo
me1071	beta-lactamase inhibitor		inhibitor	aro_obo
metallo-beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
methimazole	beta-lactamase inhibitor		inhibitor	aro_obo
methotrexate	beta-lactamase inhibitor		inhibitor	aro_obo
nacubactam	beta-lactamase inhibitor		inhibitor	aro_obo
nordihydroguaiaretic acid	beta-lactamase inhibitor		inhibitor	aro_obo
phosphonate metallo-beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
polypyridine metallo-beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
relebactam	beta-lactamase inhibitor		inhibitor	aro_obo
risedronate	beta-lactamase inhibitor		inhibitor	aro_obo
s02030	beta-lactamase inhibitor		inhibitor	aro_obo
serine beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
sulbactam	beta-lactamase inhibitor		inhibitor	aro_obo
syn-1012	beta-lactamase inhibitor		inhibitor	aro_obo
taniborbactam	beta-lactamase inhibitor		inhibitor	aro_obo
tazobactam	beta-lactamase inhibitor		inhibitor	aro_obo
thiorphan	beta-lactamase inhibitor		inhibitor	aro_obo
tiopronin	beta-lactamase inhibitor		inhibitor	aro_obo
trispicen	beta-lactamase inhibitor		inhibitor	aro_obo
trispicen a	beta-lactamase inhibitor		inhibitor	aro_obo
unclassified metallo-beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
unclassified serine beta-lactamase inhibitor	beta-lactamase inhibitor		inhibitor	aro_obo
unithiol	beta-lactamase inhibitor		inhibitor	aro_obo
vaborbactam	beta-lactamase inhibitor		inhibitor	aro_obo
xeruborbactam	beta-lactamase inhibitor		inhibitor	aro_obo
zidebactam	beta-lactamase inhibitor		inhibitor	aro_obo
bicyclomycin	bicyclomycin-like antibiotic	ARO:3007150	antibiotic	aro_obo
bleomycin	bleomycin		non_therapeutic	ncbi
bleomycin a2	bleomycin		non_therapeutic	aro_obo
bleomycin b2	bleomycin		non_therapeutic	aro_obo
bleomycinic acid	bleomycin		non_therapeutic	aro_obo
zorbamycin	bleomycin		non_therapeutic	ncbi
biapenem	carbapenem	ARO:0000020	antibiotic	aro_obo
doripenem	carbapenem	ARO:0000020	antibiotic	aro_obo
ertapenem	carbapenem	ARO:0000020	antibiotic	aro_obo
imipenem	carbapenem	ARO:0000020	antibiotic	aro_obo
meropenem	carbapenem	ARO:0000020	antibiotic	aro_obo
panipenem	carbapenem	ARO:0000020	antibiotic	aro_obo
sulopenem	carbapenem	ARO:0000020	antibiotic	aro_obo
tebipenem	carbapenem	ARO:0000020	antibiotic	aro_obo
cefacetrile	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefaclor	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefadroxil	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefalexin	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefalotin	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefamandole	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefatrizine	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefazedone	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefazolin	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefbuperazone	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefcapene	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefdinir	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefditoren	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefepime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefetamet	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefiderocol	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefixime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefmenoxime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefmetazole	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefminox	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefodizime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefonicid	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefoperazone	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceforanide	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefotaxime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefotetan	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefotiam	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefovecin	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefoxitin	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefozopran	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefpiramide	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefpirome	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefpodoxime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefprozil	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefquinome	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefradine	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefroxadine	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefsulodin	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftaroline	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftazidime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefteram	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftezole	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftibuten	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftiofur	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftizoxime	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftobiprole	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftolozane	cephalosporin	ARO:0000032	antibiotic	aro_obo
ceftriaxone	cephalosporin	ARO:0000032	antibiotic	aro_obo
cefuroxime	cephalosporin	ARO:0000032	antibiotic	aro_obo
cephaloridine	cephalosporin	ARO:0000032	antibiotic	aro_obo
cephapirin	cephalosporin	ARO:0000032	antibiotic	aro_obo
faropenem	cephalosporin	ARO:0000032	antibiotic	aro_obo
first-generation cephalosporin	cephalosporin	ARO:0000032	antibiotic	aro_obo
flomoxef	cephalosporin	ARO:0000032	antibiotic	aro_obo
fourth-generation cephalosporin	cephalosporin	ARO:0000032	antibiotic	aro_obo
loracarbef	cephalosporin	ARO:0000032	antibiotic	aro_obo
moxalactam	cephalosporin	ARO:0000032	antibiotic	aro_obo
other cephalosporins and penems	cephalosporin	ARO:0000032	antibiotic	aro_obo
second-generation cephalosporin	cephalosporin	ARO:0000032	antibiotic	aro_obo
third-generation cephalosporin	cephalosporin	ARO:0000032	antibiotic	aro_obo
cycloserine	cycloserine-like antibiotic	ARO:3007154	antibiotic	aro_obo
d-cycloserine	cycloserine-like antibiotic	ARO:3007154	antibiotic	resfinder
brodimoprim	diaminopyrimidine antibiotic	ARO:3000171	antibiotic	aro_obo
iclaprim	diaminopyrimidine antibiotic	ARO:3000171	antibiotic	aro_obo
tetroxoprim	diaminopyrimidine antibiotic	ARO:3000171	antibiotic	aro_obo
trimethoprim	diaminopyrimidine antibiotic	ARO:3000171	antibiotic	ncbi
bedaquiline	diarylquinoline antibiotic	ARO:3004491	antibiotic	resfinder
acriflavine	disinfecting agents and antiseptics	ARO:3005386	biocide	aro_obo
benzalkonium chloride	disinfecting agents and antiseptics	ARO:3005386	biocide	aro_obo
chlorhexidine	disinfecting agents and antiseptics	ARO:3005386	biocide	aro_obo
proflavine	disinfecting agents and antiseptics	ARO:3005386	biocide	aro_obo
thiacalixarene derivatives	disinfecting agents and antiseptics	ARO:3005386	biocide	aro_obo
triclosan	disinfecting agents and antiseptics	ARO:3005386	biocide	aro_obo
efflux	efflux		resistance_mechanism	ncbi
amythiamicin a	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
aurodox	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
azimycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
cyclic thiazolyl peptide elfamycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
dihydromocimycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
efrotomycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
