gene_name	accession	element_type	ncbi_class_raw	ncbi_subclass_raw	canonical_class_token	canonical_drug_token
aac(2')-I(A267)	WP_025297907.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(2')-I(A267)	WP_025297907.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(2')-IIa	WP_063839881.1	AMR	AMINOGLYCOSIDE	KASUGAMYCIN	aminoglycoside	kasugamycin
aac(2')-IIb	WP_071224044.1	AMR	AMINOGLYCOSIDE	KASUGAMYCIN	aminoglycoside	kasugamycin
aac(2')-Ia	WP_004918308.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/PLAZOMICIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(2')-Ia	WP_004918308.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/PLAZOMICIN/TOBRAMYCIN	aminoglycoside	plazomicin
aac(2')-Ia	WP_004918308.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/PLAZOMICIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(2')-Ib	WP_003881640.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(2')-Ib	WP_003881640.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(2')-Ic	WP_003899880.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(2')-Ic	WP_003899880.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(2')-Id	WP_011726942.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(2')-Id	WP_011726942.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(2')-Ie	WP_010908954.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(2')-Ie	WP_010908954.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(3)-C1264	WP_034000523.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(3)-C1264	WP_034000523.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	aminoglycoside	kanamycin
aac(3)-C1264	WP_034000523.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(3)-C322	WP_044061792.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	aminoglycoside	gentamicin
aac(3)-C322	WP_044061792.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	aminoglycoside	kanamycin
aac(3)-C322	WP_044061792.1	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	aminoglycoside	tobramycin
aac(3)-IIIa	WP_063840261.1	AMR	AMINOGLYCOSIDE	GENTAMICIN	aminoglycoside	gentamicin
aac(3)-IIIb	WP_058179966.1	AMR	AMINOGLYCOSIDE	GENTAMICIN	aminoglycoside	gentamicin
aac(3)-IIIc	WP_063840263.1	AMR	AMINOGLYCOSIDE	GENTAMICIN	aminoglycoside	gentamicin
